date,letters
1805-10-26,1
1805-10-27,2
1805-10-30,1
1840-01-01,1
1840-07-20,1
1841-01-01,1
1842-01-01,1
1843-01-01,1
1844-01-01,1
1844-05-29,1
1844-08-03,1
1845-01-01,1
1845-08-25,1
1845-08-28,1
1846-01-01,3
1847-01-01,5
1847-01-30,1
1847-03-01,2
1847-03-05,1
1847-03-06,1
1847-03-17,1
1847-03-18,1
1847-03-19,1
1847-03-20,1
1847-03-21,2
1847-03-22,1
1847-03-24,1
1847-03-25,1
1847-03-26,1
1847-04-06,1
1847-04-07,1
1847-04-09,1
1847-04-10,1
1847-04-12,1
1847-04-17,1
1847-04-18,1
1847-04-19,1
1847-06-04,1
1847-06-07,1
1847-06-14,1
1847-06-15,1
1847-06-16,1
1848-01-01,2
1848-10-19,1
1848-10-26,1
1848-10-27,1
1848-11-01,2
1848-11-03,2
1848-11-04,2
1848-11-05,2
1848-11-06,1
1848-11-15,2
1848-11-18,1
1848-11-22,1
1848-12-01,4
1848-12-02,2
1848-12-03,2
1848-12-10,1
1848-12-16,1
1849-02-13,1
1849-03-15,1
1849-03-25,1
1849-03-30,1
1849-03-31,1
1849-04-20,1
1849-04-30,1
1849-05-01,2
1849-05-11,1
1849-05-20,1
1849-12-01,2
1850-01-01,2
1850-01-10,1
1850-02-01,1
1850-04-20,1
1850-06-14,1
1850-11-01,1
1850-11-18,1
1850-12-04,1
1850-12-07,1
1850-12-08,1
1850-12-09,1
1850-12-11,1
1850-12-13,1
1850-12-14,1
1850-12-15,2
1850-12-16,1
1850-12-17,1
1850-12-18,1
1850-12-19,1
1850-12-20,1
1850-12-21,1
1850-12-22,2
1850-12-24,2
1850-12-26,1
1850-12-27,1
1850-12-28,1
1850-12-30,1
1850-12-31,1
1851-01-01,3
1851-01-17,1
1851-02-01,1
1851-02-28,1
1851-03-01,7
1851-03-06,1
1851-03-08,1
1851-03-10,1
1851-03-11,1
1851-03-12,1
1851-03-13,1
1851-03-15,1
1851-03-17,1
1851-03-19,1
1851-03-20,1
1851-03-23,1
1851-03-26,1
1851-03-29,1
1851-03-30,1
1851-04-01,1
1851-04-04,2
1851-04-05,1
1851-04-06,1
1851-04-13,1
1851-04-14,1
1851-04-15,1
1851-04-30,1
1851-05-01,1
